           [1>1]           [1>2]           [1>3]           [1>4]           [1>5]           [2>1]           [2>2]           [2>3]           [2>4]           [2>5]           [3>1]           [3>2]           [3>3]           [3>4]           [3>5]           [4>1]           [4>2]           [4>3]           [4>4]           [4>5]           [5>1]           [5>2]           [5>3]           [5>4]           [5>5]
  0.0000000E+000  1.0758736E-001  1.6387081E-005  1.9503716E-006  7.2494587E-005  8.2266071E-002  0.0000000E+000  5.0078353E-001  4.9949877E-001  5.0304473E-001  6.0724872E-006  1.7616041E-006  0.0000000E+000  4.7945008E-005  1.3960273E-004  4.6880362E-005  1.1774115E-005  4.3733366E-005  0.0000000E+000  1.5832723E-005  5.4355724E-005  1.0893729E-005  4.4996416E-005  3.5799908E-005  0.0000000E+000
  0.0000000E+000  9.4795719E-002  1.3870655E-005  1.9126866E-006  7.4314502E-005  7.5480289E-002  0.0000000E+000  4.8668290E-001  4.8582774E-001  4.8918914E-001  5.5795675E-006  1.5707432E-006  0.0000000E+000  4.7837098E-005  1.3881594E-004  4.8210917E-005  1.0845210E-005  4.3813374E-005  0.0000000E+000  1.5124693E-005  5.2441619E-005  1.0697557E-005  4.4568580E-005  3.5041847E-005  0.0000000E+000
  0.0000000E+000  8.3966603E-002  1.1822001E-005  1.8797030E-006  7.5985927E-005  6.9407903E-002  0.0000000E+000  4.7313899E-001  4.7271959E-001  4.7588917E-001  5.1487104E-006  1.4070022E-006  0.0000000E+000  4.7744375E-005  1.3812581E-004  4.9451707E-005  1.0024334E-005  4.3887904E-005  0.0000000E+000  1.4495192E-005  5.0738724E-005  1.0548538E-005  4.4184753E-005  3.4360286E-005  0.0000000E+000
  0.0000000E+000  7.4745316E-002  1.0137898E-005  1.8506208E-006  7.7522195E-005  6.3960548E-002  0.0000000E+000  4.6013290E-001  4.6015323E-001  4.6312522E-001  4.7698603E-006  1.2656740E-006  0.0000000E+000  4.7664584E-005  1.3751795E-004  5.0609211E-005  9.2948990E-006  4.3957260E-005  0.0000000E+000  1.3932562E-005  4.9215700E-005  1.0436690E-005  4.3838600E-005  3.3744625E-005  0.0000000E+000
  0.0000000E+000  6.6848955E-002  8.7414280E-006  1.8248101E-006  7.8936013E-005  5.9062081E-002  0.0000000E+000  4.4764545E-001  4.4810757E-001  4.5087750E-001  4.4349218E-006  1.1430085E-006  0.0000000E+000  4.7595884E-005  1.3698059E-004  5.1689660E-005  8.6434308E-006  4.4021759E-005  0.0000000E+000  1.3427280E-005  4.7846953E-005  1.0354276E-005  4.3524919E-005  3.3186106E-005  0.0000000E+000
  0.0000000E+000  6.0050789E-002  7.5744287E-006  1.8017684E-006  8.0239135E-005  5.4646772E-002  0.0000000E+000  4.3565736E-001  4.3656165E-001  4.3912626E-001  4.1373185E-006  1.0359913E-006  0.0000000E+000  4.7536760E-005  1.3650406E-004  5.2698940E-005  8.0588913E-006  4.4081719E-005  0.0000000E+000  1.2971504E-005  4.6611398E-005  1.0295248E-005  4.3239404E-005  3.2677427E-005  0.0000000E+000
  0.0000000E+000  5.4168146E-002  6.5923313E-006  1.7810901E-006  8.1442251E-005  5.0657777E-002  0.0000000E+000  4.2414949E-001  4.2549484E-001  4.2785190E-001  3.8716635E-006  9.4217930E-007  0.0000000E+000  4.7485954E-005  1.3608034E-004  5.3642537E-005  7.5321630E-006  4.4137449E-005  0.0000000E+000  1.2558720E-005  4.5491522E-005  1.0254845E-005  4.2978461E-005  3.2212460E-005  0.0000000E+000
  0.0000000E+000  4.9053028E-002  5.7605739E-006  1.7624442E-006  8.2554985E-005  4.7045837E-002  0.0000000E+000  4.1310293E-001  4.1488698E-001  4.1703517E-001  3.6335106E-006  8.5957713E-007  0.0000000E+000  4.7442414E-005  1.3570272E-004  5.4525533E-005  7.0556574E-006  4.4189243E-005  0.0000000E+000  1.2183480E-005  4.4472677E-005  1.0229298E-005  4.2739072E-005  3.1786025E-005  0.0000000E+000
  0.0000000E+000  4.4584862E-002  5.0520622E-006  1.7455583E-006  8.3585955E-005  4.3768170E-002  0.0000000E+000  4.0249914E-001  4.0471840E-001  4.0665723E-001  3.4191635E-006  7.8654375E-007  0.0000000E+000  4.7405255E-005  1.3536555E-004  5.5352601E-005  6.6230152E-006  4.4237378E-005  0.0000000E+000  1.1841194E-005  4.3542522E-005  1.0215606E-005  4.2518681E-005  3.1393716E-005  0.0000000E+000
  0.0000000E+000  4.0664862E-002  4.4453448E-006  1.7302060E-006  8.4542854E-005  4.0787543E-002  0.0000000E+000  3.9232003E-001  3.9497006E-001  3.9669975E-001  3.2255294E-006  7.2172051E-007  0.0000000E+000  4.7373723E-005  1.3506404E-004  5.6128030E-005  6.2288721E-006  4.4282115E-005  0.0000000E+000  1.1527972E-005  4.2690599E-005  1.0211364E-005  4.2315114E-005  3.1031761E-005  0.0000000E+000
  0.0000000E+000  3.7211649E-002  3.9232832E-006  1.7161976E-006  8.5432541E-005  3.8071478E-002  0.0000000E+000  3.8254800E-001  3.8562357E-001  3.8714495E-001  3.0500040E-006  6.6397568E-007  0.0000000E+000  4.7347178E-005  1.3479410E-004  5.6855748E-005  5.8686759E-006  4.4323697E-005  0.0000000E+000  1.1240497E-005  4.1907987E-005  1.0214642E-005  4.2126512E-005  3.0696916E-005  0.0000000E+000
  0.0000000E+000  3.4157825E-002  3.4720706E-006  1.7033733E-006  8.6261127E-005  3.5591579E-002  0.0000000E+000  3.7316602E-001  3.7666119E-001  3.7797564E-001  2.8903821E-006  6.1236113E-007  0.0000000E+000  4.7325067E-005  1.3455224E-004  5.7539344E-005  5.5385422E-006  4.4362347E-005  0.0000000E+000  1.0975927E-005  4.1187041E-005  1.0223880E-005  4.1951274E-005  3.0386374E-005  0.0000000E+000
  0.0000000E+000  3.1447280E-002  3.0804983E-006  1.6915973E-006  8.7034065E-005  3.3322966E-002  0.0000000E+000  3.6415765E-001  3.6806589E-001  3.6917527E-001  2.7447862E-006  5.6607830E-007  0.0000000E+000  4.7306914E-005  1.3433543E-004  5.8182097E-005  5.2351384E-006  4.4398275E-005  0.0000000E+000  1.0731811E-005  4.0521173E-005  1.0237817E-005  4.1788015E-005  3.0097700E-005  0.0000000E+000
